,verbatim_text
9075,Presentation was as good as it could be considering the environment. Overall far better quality and taste than we expected.
9076,Beef was horrible.
9077,We actually got 2 meals in the flight. They were included in the fare.
9078,The online pre-registration offered no vegan option. Very frustrating. Tried to contact United online - no response. Thankfully the crew found solutions for us..
9079,Very glad you had Buffalo Trace.
9080,They ran out of dinners to serve !.
9081,It was nice to be welcomed with a glass of champagne!. On the flight to Athens nothing was offered when came aboard.
9082,No.
9083,Food in the United Club was quite good and fresh.
9084,"Iced tea, green tea, sparkling water (not soda)."
9085,No.
9086,Tortollini lunch was excellent…exceeded my expectations!. Snack pocket sandwich was nothing special.
9087,The only thing I like to add is that we were also served a sandwich as a snack since it was an 8 hr flight. I think it would have been nice to pair the sandwich with a side like chips.
9088,Hate the need to pay extra but appreciate the app and its warning to pay ahead.
9089,"I was surprised and disappointed that they only gave a cup of soda, not a can."
9090,the food was not good. The sandwich was mostly bread and cold. the breakfast was very small. there was no variety.
9091,The food was better from SFO to Tel Aviv than Tel Aviv to SFO. The salmon with pasta in cream sauce I could not eat (and I am not very picky). The salmon had a metallic taste. the pasta was a dry goo.
9092,Offer complimentary snack like. nuts ir pretzels.
9093,no complimentary snack;. why the inconsistency?. (IAH to CVG did provide snack).
9094,Maybe a light meal should be offered due to it being a late flight. This was not a deal breaker.
9095,No.
9096,Offer second.
9097,Appreciate the 1K snack/bev policy.
9098,No Diet Pepsi.
9099,There needs to be more frequent rotation of meal choices.
9100,It took 1 1/2 to get anything to drink. Too long. Food was gross.
9101,Lower prices.
9102,"Was not offered water for a few hours, was very thirsty."
9103,Most of the things I like.
9104,No snacks offered.
9105,More variety.
9106,Snack or other food was not served.
9107,Great that coffee was complimentary.
9108,"Given that a single vodka is so small, it would be nice if ordering two at a time (vs only one) was a standard option."
9109,"The chicken had a good flavor and the portion size was adequate, but it was very tough and hard to eat. This could have been a fluke as I have never had that issue before."
9110,There was no service of food or beverages. They served nothing!.
9111,No one flys for food and beverage.
9112,Nothing was served.
9113,The choices were chicken and quinoa or vegetables. The taste was not satisfactory.
9114,Really liked the ability to pre-order.
9115,"It would be nice to have the whole can of soda or juice, plus pretzels or cookies."
9116,For me simplify the product with spices and garnishes as sides so the product is simplified.
9117,No. As expected from previous flights.
9118,"On my return flight, the flight attendants were not checking all passengers to see if they wanted to purchase in flight snacks. I wanted to make a purchase. the crew was gone before I could flag them down."
9119,No snacks.
9120,No.
9121,No chips or any type of food offered for first class.
9122,I have seen the same items offered forany years. It would be good to introduce variety.
9123,I do not know if you meant by dessert the pineapple with the dinner. No other dessert was offered. I would have enjoyed a cookie along with the drink before we landed.
9124,Should give people a whole can.
9125,"No choice, just got handed pretzels."
9126,Would love to see a Sauvignon blanc on the wine list.
9127,Your airlines refusal to accept credit card payment for drinks is ridiculous.
9128,Butternut squash ravioli was disappointing because it was cheese ravioli with a few pieces of butternut squash tossed on top. Not the same thing. Cheesecake is bad and fattening and no other option.
9129,More selection of beverages.
9130,Coffee luke warm.
9131,No.
9132,Nope. I’ m happy.
9133,No.
9134,Comment is the lack of quality food options in ORD.
9135,A snack would be good.
9136,I am used to flying Hawaiian airlines and they give you a free meal— would be nice to get a complementary snack or meal….
9137,There was no food or beverage service provided.
9138,No snacks were even offered.
9139,too little.
9140,Satisfactory.
9141,Long flight for only one little cookie.
